system_id,system,backend,study,interaction_mcc,interaction_balanced_accuracy,interaction_macro_f1,failure_category_macro_f1,interaction_all_case_accuracy,interaction_valid,interaction_eligible,recovery_mcc,recovery_macro_f1,recovery_all_case_accuracy,recovery_valid,recovery_eligible
browser_use,Browser Use-derived assessment,Frozen Qwen2-VL-2B-Instruct,Recorded-transition validation pilot,0.0,0.5,0.20557491289198607,0.12475247524752475,0.24583333333333332,228,240,0.0,0.32934131736526945,0.4583333333333333,112,120
agent_s2,Agent S2-derived reflection,Frozen Qwen2-VL-2B-Instruct,Recorded-transition validation pilot,0.0,0.5,0.19865319865319866,0.09932659932659933,0.24583333333333332,238,240,0.0,0.3333333333333333,0.5,120,120
webvoyager,WebVoyager-derived evaluation,Frozen Qwen2-VL-2B-Instruct,Recorded-transition validation pilot,0.0,0.5,0.2,0.11105554700723189,0.22916666666666666,220,240,0.0,0.3353658536585366,0.4583333333333333,109,120
pc03,Our trained InternVL3.5-8B,"Trained InternVL3.5-8B full epoch 0, seed 42",Recorded-transition validation pilot,0.5583249548589211,0.8083333333333333,0.7677817807514153,0.5286625555146954,0.8041666666666667,240,240,0.8844395746351074,0.9416301855326246,0.9416666666666667,120,120
