system_id,system,backend,study,phase,outcome_mcc,balanced_accuracy,outcome_macro_f1,valid_case_accuracy,all_case_accuracy,valid_outputs,eligible_cases,parse_error,abstention,infrastructure_error,interrupted,missing,model_calls_known,latency_seconds_total
browser_use,Browser Use-derived assessment,Frozen Qwen2-VL-2B-Instruct,Recorded-transition validation pilot,recovery_assessment,0.0,0.5,0.32934131736526945,0.49107142857142855,0.4583333333333333,112,120,8,0,0,0,0,120,133.07088017200203
agent_s2,Agent S2-derived reflection,Frozen Qwen2-VL-2B-Instruct,Recorded-transition validation pilot,recovery_assessment,0.0,0.5,0.3333333333333333,0.5,0.5,120,120,0,0,0,0,0,120,113.61002167699826
webvoyager,WebVoyager-derived evaluation,Frozen Qwen2-VL-2B-Instruct,Recorded-transition validation pilot,recovery_assessment,0.0,0.5,0.3353658536585366,0.5045871559633027,0.4583333333333333,109,120,11,0,0,0,0,120,135.38675170600072
pc03,Our trained InternVL3.5-8B,"Trained InternVL3.5-8B full epoch 0, seed 42",Recorded-transition validation pilot,recovery_assessment,0.8844395746351074,0.9416666666666667,0.9416301855326246,0.9416666666666667,0.9416666666666667,120,120,0,0,0,0,0,120,212.93947155000023
