system_id,system,backend,study,phase,outcome_mcc,balanced_accuracy,outcome_macro_f1,valid_case_accuracy,all_case_accuracy,valid_outputs,eligible_cases,failure_category_macro_f1,parse_error,abstention,infrastructure_error,interrupted,missing,model_calls_known,latency_seconds_total
browser_use,Browser Use-derived assessment,Frozen Qwen2-VL-2B-Instruct,Recorded-transition validation pilot,interaction_assessment,0.0,0.5,0.20557491289198607,0.25877192982456143,0.24583333333333332,228,240,0.12475247524752475,12,0,0,0,0,240,276.0245268929975
agent_s2,Agent S2-derived reflection,Frozen Qwen2-VL-2B-Instruct,Recorded-transition validation pilot,interaction_assessment,0.0,0.5,0.19865319865319866,0.24789915966386555,0.24583333333333332,238,240,0.09932659932659933,2,0,0,0,0,240,262.6788737550014
webvoyager,WebVoyager-derived evaluation,Frozen Qwen2-VL-2B-Instruct,Recorded-transition validation pilot,interaction_assessment,0.0,0.5,0.2,0.25,0.22916666666666666,220,240,0.11105554700723189,20,0,0,0,0,240,320.92134888300643
pc03,Our trained InternVL3.5-8B,"Trained InternVL3.5-8B full epoch 0, seed 42",Recorded-transition validation pilot,interaction_assessment,0.5583249548589211,0.8083333333333333,0.7677817807514153,0.8041666666666667,0.8041666666666667,240,240,0.5286625555146954,0,0,0,0,0,240,260.91243696500624
