row_id,method,backend,weight_variant,output_mode,seed,interaction_mcc,interaction_balanced_accuracy,interaction_macro_f1,failure_category_macro_f1,interaction_all_case_accuracy,interaction_valid,interaction_eligible,recovery_mcc,recovery_macro_f1,recovery_all_case_accuracy,recovery_valid,recovery_eligible
browser_use_base,browser_use,InternVL3.5-8B-HF,base,generation,42,0.0,1.0,0.5,0.16666666666666666,0.008333333333333333,2,240,0.0,0.3333333333333333,0.008333333333333333,2,120
agent_s2_base,agent_s2,InternVL3.5-8B-HF,base,generation,42,0.25298221281347033,0.55,0.48115299334811534,0.2067448680351906,0.07083333333333333,26,240,0.5291502622129182,0.6974789915966386,0.075,12,120
webvoyager_base,webvoyager,InternVL3.5-8B-HF,base,generation,42,0.0,0.5,0.49230769230769234,0.18735632183908046,0.06666666666666667,27,240,0.0,0.18181818181818182,0.016666666666666666,9,120
browser_use_trained,browser_use,InternVL3.5-8B-HF,trained,generation,42,0.2704164808680734,0.6447876447876448,0.5462282398452611,0.20374653098982423,0.11666666666666667,51,240,0.22360679774997896,0.6100795755968169,0.11666666666666667,21,120
agent_s2_trained,agent_s2,InternVL3.5-8B-HF,trained,generation,42,-0.09335200560186732,0.45424836601307195,0.4499586435070306,0.2096774193548387,0.06666666666666667,35,240,0.09128709291752769,0.5142857142857142,0.075,17,120
webvoyager_trained,webvoyager,InternVL3.5-8B-HF,trained,generation,42,-0.027277236279499045,0.4920634920634921,0.21839080459770113,0.10833333333333334,0.06666666666666667,68,240,0.0,0.3287671232876712,0.2,49,120
internvl_heads,trained_heads,InternVL3.5-8B-HF,trained,heads,42,0.5583249548589211,0.8083333333333333,0.7677817807514153,0.5286625555146954,0.8041666666666667,240,240,0.8844395746351074,0.9416301855326246,0.9416666666666667,120,120
