row_id,method,backend,weight_variant,output_mode,seed,phase,mcc,balanced_accuracy,macro_f1,accuracy,all_case_accuracy,valid_outputs,eligible_cases,failure_category_macro_f1,parse_error,abstention,infrastructure_error,interrupted,missing,model_calls_known,model_calls_unknown_records,latency_seconds_total,token_limit_hits
browser_use_base,browser_use,InternVL3.5-8B-HF,base,generation,42,interaction_assessment,0.0,1.0,0.5,1.0,0.008333333333333333,2,240,0.16666666666666666,0,238,0,0,0,240,0,777.8742524329969,0
agent_s2_base,agent_s2,InternVL3.5-8B-HF,base,generation,42,interaction_assessment,0.25298221281347033,0.55,0.48115299334811534,0.6538461538461539,0.07083333333333333,26,240,0.2067448680351906,1,213,0,0,0,240,0,893.7402409009965,0
webvoyager_base,webvoyager,InternVL3.5-8B-HF,base,generation,42,interaction_assessment,0.0,0.5,0.49230769230769234,0.5925925925925926,0.06666666666666667,27,240,0.18735632183908046,3,210,0,0,0,240,0,1222.2757784399973,0
browser_use_trained,browser_use,InternVL3.5-8B-HF,trained,generation,42,interaction_assessment,0.2704164808680734,0.6447876447876448,0.5462282398452611,0.5490196078431373,0.11666666666666667,51,240,0.20374653098982423,30,159,0,0,0,240,0,894.9376841670019,0
agent_s2_trained,agent_s2,InternVL3.5-8B-HF,trained,generation,42,interaction_assessment,-0.09335200560186732,0.45424836601307195,0.4499586435070306,0.45714285714285713,0.06666666666666667,35,240,0.2096774193548387,0,205,0,0,0,240,0,1079.4596326489986,0
webvoyager_trained,webvoyager,InternVL3.5-8B-HF,trained,generation,42,interaction_assessment,-0.027277236279499045,0.4920634920634921,0.21839080459770113,0.23529411764705882,0.06666666666666667,68,240,0.10833333333333334,4,168,0,0,0,240,0,1221.5686147309987,0
internvl_heads,trained_heads,InternVL3.5-8B-HF,trained,heads,42,interaction_assessment,0.5583249548589211,0.8083333333333333,0.7677817807514153,0.8041666666666667,0.8041666666666667,240,240,0.5286625555146954,0,0,0,0,0,240,0,336.76736346000007,0
