phase,endpoint,first,second,metric,direction,pairs,task_groups,difference,ci95_low,ci95_high,resamples,analysis_seed
interaction_assessment,outcome_label,webvoyager_base,internvl_heads,accuracy,second_minus_first,27,27,0.18518518518518523,0.0,0.37037037037037035,10000,20250831
interaction_assessment,failure_type_4,webvoyager_base,internvl_heads,mcc,second_minus_first,27,27,0.5294659296219743,0.24825251909221402,0.8203598638608464,10000,20250831
interaction_assessment,failure_type_4,webvoyager_base,internvl_heads,balanced_accuracy,second_minus_first,27,27,0.2756410256410256,0.14705882352941174,0.5166666666666666,10000,20250831
interaction_assessment,failure_type_4,webvoyager_base,internvl_heads,macro_f1,second_minus_first,27,27,0.2363108038740811,0.06505147296766287,0.4021179634541703,10000,20250831
interaction_assessment,failure_type_4,webvoyager_base,internvl_heads,accuracy,second_minus_first,27,27,0.22222222222222227,-0.07407407407407407,0.4814814814814815,10000,20250831
interaction_assessment,outcome_label,browser_use_trained,internvl_heads,mcc,second_minus_first,51,51,0.29399438991635,0.13074409009212262,0.4939480949767212,10000,20250831
interaction_assessment,outcome_label,browser_use_trained,internvl_heads,balanced_accuracy,second_minus_first,51,51,0.1708494208494209,0.08108108108108103,0.2784200174825173,10000,20250831
interaction_assessment,outcome_label,browser_use_trained,internvl_heads,macro_f1,second_minus_first,51,51,0.20212702331263355,0.10065789473684217,0.31413126229093247,10000,20250831
interaction_assessment,outcome_label,browser_use_trained,internvl_heads,accuracy,second_minus_first,51,51,0.21568627450980382,0.11764705882352933,0.33333333333333337,10000,20250831
interaction_assessment,failure_type_4,browser_use_trained,internvl_heads,mcc,second_minus_first,51,51,0.5812701568388647,0.3171953094744619,0.8389797322135994,10000,20250831
interaction_assessment,failure_type_4,browser_use_trained,internvl_heads,balanced_accuracy,second_minus_first,51,51,0.3204022988505747,0.1925232095490716,0.49861111111111106,10000,20250831
interaction_assessment,failure_type_4,browser_use_trained,internvl_heads,macro_f1,second_minus_first,51,51,0.33939072391213654,0.19817019803927743,0.4625426303926524,10000,20250831
interaction_assessment,failure_type_4,browser_use_trained,internvl_heads,accuracy,second_minus_first,51,51,0.3529411764705882,0.1568627450980392,0.5294117647058824,10000,20250831
interaction_assessment,outcome_label,agent_s2_trained,internvl_heads,mcc,second_minus_first,35,35,0.7953161237649011,0.34281044181537174,1.2270550794512998,10000,20250831
interaction_assessment,outcome_label,agent_s2_trained,internvl_heads,balanced_accuracy,second_minus_first,35,35,0.3790849673202613,0.14166666666666672,0.6085526315789473,10000,20250831
interaction_assessment,outcome_label,agent_s2_trained,internvl_heads,macro_f1,second_minus_first,35,35,0.3750413564929694,0.1203267973856208,0.6146147654312594,10000,20250831
interaction_assessment,outcome_label,agent_s2_trained,internvl_heads,accuracy,second_minus_first,35,35,0.3714285714285715,0.11428571428571432,0.6,10000,20250831
interaction_assessment,failure_type_4,agent_s2_trained,internvl_heads,mcc,second_minus_first,35,35,0.6369301196047844,0.2631311296464323,1.0012750994576074,10000,20250831
interaction_assessment,failure_type_4,agent_s2_trained,internvl_heads,balanced_accuracy,second_minus_first,35,35,0.4281045751633987,0.22712418300653592,0.6233552631578948,10000,20250831
interaction_assessment,failure_type_4,agent_s2_trained,internvl_heads,macro_f1,second_minus_first,35,35,0.19615028334786405,0.09297352728126962,0.2988178000259795,10000,20250831
interaction_assessment,failure_type_4,agent_s2_trained,internvl_heads,accuracy,second_minus_first,35,35,0.4285714285714286,0.2285714285714286,0.6285714285714286,10000,20250831
interaction_assessment,outcome_label,webvoyager_trained,internvl_heads,mcc,second_minus_first,68,67,0.5442119488946944,0.24992025806595194,0.8891941084048505,10000,20250831
interaction_assessment,outcome_label,webvoyager_trained,internvl_heads,balanced_accuracy,second_minus_first,68,67,0.32407407407407407,0.19474393530997303,0.4517586032388663,10000,20250831
interaction_assessment,outcome_label,webvoyager_trained,internvl_heads,macro_f1,second_minus_first,68,67,0.4925369273352821,0.3606860371267151,0.614540741601576,10000,20250831
interaction_assessment,outcome_label,webvoyager_trained,internvl_heads,accuracy,second_minus_first,68,67,0.5147058823529411,0.3731343283582089,0.6521739130434783,10000,20250831
interaction_assessment,failure_type_4,webvoyager_trained,internvl_heads,mcc,second_minus_first,68,67,0.7085199478772934,0.5123668303368106,0.9155413921526763,10000,20250831
interaction_assessment,failure_type_4,webvoyager_trained,internvl_heads,balanced_accuracy,second_minus_first,68,67,0.41023166023166013,0.3447464698331194,0.47435897435897434,10000,20250831
interaction_assessment,failure_type_4,webvoyager_trained,internvl_heads,macro_f1,second_minus_first,68,67,0.49972010747872814,0.4028991340345696,0.5800453218010013,10000,20250831
interaction_assessment,failure_type_4,webvoyager_trained,internvl_heads,accuracy,second_minus_first,68,67,0.5882352941176471,0.44763859275053314,0.7205882352941176,10000,20250831
recovery_assessment,outcome_label,browser_use_base,browser_use_trained,mcc,second_minus_first,1,1,0.0,0.0,0.0,10000,20250831
recovery_assessment,outcome_label,browser_use_base,browser_use_trained,balanced_accuracy,second_minus_first,1,1,0.0,0.0,0.0,10000,20250831
recovery_assessment,outcome_label,browser_use_base,browser_use_trained,macro_f1,second_minus_first,1,1,0.0,0.0,0.0,10000,20250831
recovery_assessment,outcome_label,browser_use_base,browser_use_trained,accuracy,second_minus_first,1,1,0.0,0.0,0.0,10000,20250831
recovery_assessment,outcome_label,agent_s2_base,agent_s2_trained,mcc,second_minus_first,4,4,0.0,0.0,0.0,10000,20250831
