split,failure_f1,failure_macro_f1,outcome_bal_acc,outcome_mcc,success_recall,failtype_acc,action_acc,recovery_acc,recovery_outcome_acc,memory_acc,ece,bbox_mae
val_epoch0,0.8738,0.8692,0.8807,0.7686,0.7615,0.8090,0.8869,0.8141,0.4020,0.8241,0.3323,0.0943
val_epoch1,0.9096,0.9120,0.9178,0.8324,0.8578,0.8643,0.9673,0.8844,0.2563,0.9020,0.2758,0.0900
val_epoch2,0.9172,0.9280,0.9237,0.8620,0.9862,0.7915,0.9749,0.8844,0.4397,0.9171,0.2842,0.0744
val_epoch3,0.9267,0.9295,0.9343,0.8648,0.8853,0.8894,0.9749,0.8844,0.4146,0.9095,0.2611,0.0657
val_epoch4,0.9254,0.9271,0.9335,0.8641,0.8670,0.8668,0.9749,0.8844,0.5075,0.9045,0.2441,0.0648
gold_test,0.9034,0.9114,0.9254,0.8372,0.8509,0.8605,0.9612,0.8760,0.4935,0.9018,0.2175,0.0688
