stage,status,train_rows,val_rows,selection_metric,selection_rule,selected_epoch,best_metric,best_checkpoint,unconstrained_best_metric,unconstrained_best_checkpoint,checkpoint_roundtrip,loss_decreased,epoch,failure_f1,failure_macro_f1,outcome_bal_acc,outcome_mcc,success_recall,outcome_brier,outcome_majority_acc,outcome_majority_macro_f1,failtype_acc,failtype_macro_f1,failtype_bal_acc,failtype_mcc,failtype_majority_acc,failtype_majority_macro_f1,action_acc,action_macro_f1,action_bal_acc,action_mcc,action_majority_acc,action_majority_macro_f1,recovery_acc,recovery_macro_f1,recovery_bal_acc,recovery_mcc,recovery_majority_acc,recovery_majority_macro_f1,recovery_pred_classes,needs_recovery_acc,needs_recovery_macro_f1,needs_recovery_bal_acc,needs_recovery_mcc,needs_recovery_pred_classes,needs_recovery_majority_acc,needs_recovery_majority_macro_f1,strategy_attempted_acc,strategy_attempted_macro_f1,strategy_attempted_rows,strategy_attempted_pred_classes,strategy_attempted_majority_acc,strategy_attempted_majority_macro_f1,recovery_outcome_acc,recovery_outcome_macro_f1,recovery_outcome_bal_acc,recovery_outcome_mcc,recovery_outcome_brier,recovery_outcome_rows,recovery_outcome_majority_acc,recovery_outcome_majority_macro_f1,memory_acc,memory_macro_f1,memory_bal_acc,memory_mcc,memory_majority_acc,memory_majority_macro_f1,outcome_ece,confidence_mae,confidence_success_ece,bbox_mae,bbox_mean_iou,bbox_median_iou,bbox_recall_iou50,bbox_rows,pillar1_diag_score,pillar3_diag_score,pillar4_diag_score,train_loss,train_raw_outcome_loss,train_weighted_outcome_loss,train_raw_failtype_loss,train_weighted_failtype_loss,train_raw_action_loss,train_weighted_action_loss,train_raw_recovery_loss,train_weighted_recovery_loss,train_raw_needs_recovery_loss,train_weighted_needs_recovery_loss,train_raw_bbox_loss,train_weighted_bbox_loss,train_raw_memory_loss,train_weighted_memory_loss,train_raw_recovery_outcome_loss,train_weighted_recovery_outcome_loss,train_raw_confidence_loss,train_weighted_confidence_loss,train_raw_calibration_loss,train_weighted_calibration_loss,train_raw_contrastive_loss,train_weighted_contrastive_loss,train_raw_bbox_l1_loss,train_raw_bbox_giou_loss,train_raw_bbox_center_l1_loss,train_raw_bbox_log_size_smooth_l1_loss,train_raw_bbox_attention_kl_loss,train_nominal_weighted_loss,train_grad_bbox_first,train_update_bbox_norm,train_grad_strategy_first,train_update_strategy_norm,train_grad_recovery_outcome_first,train_update_recovery_outcome_norm,train_grad_needs_recovery_first,train_update_needs_recovery_norm,train_grad_grounding_adapter_first,train_update_grounding_adapter_norm,train_uncertainty_log_var_action,train_uncertainty_multiplier_action,train_uncertainty_log_var_bbox,train_uncertainty_multiplier_bbox,train_uncertainty_log_var_confidence,train_uncertainty_multiplier_confidence,train_uncertainty_log_var_failtype,train_uncertainty_multiplier_failtype,train_uncertainty_log_var_memory,train_uncertainty_multiplier_memory,train_uncertainty_log_var_needs_recovery,train_uncertainty_multiplier_needs_recovery,train_uncertainty_log_var_outcome,train_uncertainty_multiplier_outcome,train_uncertainty_log_var_recovery,train_uncertainty_multiplier_recovery,train_uncertainty_log_var_recovery_outcome,train_uncertainty_multiplier_recovery_outcome,is_best,is_selected,is_unconstrained_best
mini,PASS,5000,500,outcome_mcc,all_gates_then_outcome_mcc,2,0.6128524933638501,/home/aiub/kiyas/webagent_comparison/outputs/model_comparison/internvl35_8b_gold_v2_8_dgx/seed_42/mini/checkpoints/Y_INTERNVL35_8B_GOLD_V2_8_DGX_MINI_INTERNVL35_8B_RECOVERY_V2_8/best_e2_outcome-mcc0.613.ckpt,0.6128524933638501,/home/aiub/kiyas/webagent_comparison/outputs/model_comparison/internvl35_8b_gold_v2_8_dgx/seed_42/mini/checkpoints/Y_INTERNVL35_8B_GOLD_V2_8_DGX_MINI_INTERNVL35_8B_RECOVERY_V2_8/best_e2_outcome-mcc0.613.ckpt,True,True,0,0.7692307692307693,0.7596153846153846,0.7751580611169653,0.5446072943824779,0.8653846153846154,0.15361148859561907,0.584,0.3686868686868687,0.61,0.4854392744879608,0.487831415469631,0.4337988620330887,0.416,0.14689265536723164,0.37,0.2647069385336048,0.34818105870737454,0.2623649524398041,0.198,0.05509181969949917,0.444,0.2783335161133654,0.36838908246225316,0.16377574628617084,0.75,0.21428571428571427,3,0.532,0.5231807511737089,0.6186666666666667,0.2110967451332811,2,0.75,0.42857142857142855,0.6,0.41271317829457366,125,2,0.56,0.23931623931623933,0.848,0.8342522157861679,0.8763820638820639,0.697168909364796,0.09802947562532424,125,0.704,0.4131455399061033,0.846,0.8286749229037154,0.8301095836536228,0.6574221500827615,0.662,0.3983152827918171,0.03989022529125213,0.10479024562984705,0.15911604958772654,0.094895665678427,0.11206319275065137,0.0,0.057692307692307696,156,0.630298667802463,0.18838506564212806,0.6616083878830173,1.0393464899778366,0.5192018353819847,0.11422440378403664,1.499285031414032,0.2698713056545258,1.5741167499065398,0.23611751248598095,1.150331429553032,0.0575165714776516,0.9879400279164314,0.03951760111665726,4.7699610828399654,0.4769961082839966,0.425690750361979,0.042569075036197904,0.5660341646231711,0.0509430748160854,0.030186412567074876,0.0015093206283537438,0.27687645878903566,0.013843822939451784,0.7878309815883636,0.03151323926353455,0.47853983649015425,0.9681409427881241,0.19648383807688952,0.28205599727272057,0.4409800156772137,1.3346220354864722,0.9726824760437012,0.091446653008461,0.06086895242333412,0.7296567559242249,0.09432167559862137,0.08677297830581665,0.03731677308678627,0.18297696113586426,0.028349807485938072,2.7342169284820557,-0.09882356226444244,1.1038715177850151,-0.09205421060323715,1.0964242582902117,-0.09581894427537918,1.1005597833050138,-0.09713931381702423,1.1020138886886242,-0.09686186164617538,1.1017081749553326,-0.09577544033527374,1.100511905659559,-0.09727592021226883,1.1021644411164455,-0.09641720354557037,1.1012184003900198,-0.09697902202606201,1.1018372590652585,False,False,False
mini,PASS,5000,500,outcome_mcc,all_gates_then_outcome_mcc,2,0.6128524933638501,/home/aiub/kiyas/webagent_comparison/outputs/model_comparison/internvl35_8b_gold_v2_8_dgx/seed_42/mini/checkpoints/Y_INTERNVL35_8B_GOLD_V2_8_DGX_MINI_INTERNVL35_8B_RECOVERY_V2_8/best_e2_outcome-mcc0.613.ckpt,0.6128524933638501,/home/aiub/kiyas/webagent_comparison/outputs/model_comparison/internvl35_8b_gold_v2_8_dgx/seed_42/mini/checkpoints/Y_INTERNVL35_8B_GOLD_V2_8_DGX_MINI_INTERNVL35_8B_RECOVERY_V2_8/best_e2_outcome-mcc0.613.ckpt,True,True,1,0.776173285198556,0.7490731896844798,0.7551699157007377,0.5036669278482532,0.7740384615384616,0.15385038748387145,0.584,0.3686868686868687,0.668,0.5079893284621206,0.5120607109630021,0.5064081283937607,0.416,0.14689265536723164,0.344,0.2576250108885998,0.3759493430546062,0.27319175027920894,0.198,0.05509181969949917,0.544,0.32700397458013397,0.4003321718931475,0.23488242320618483,0.75,0.21428571428571427,3,0.618,0.5950627334749554,0.6653333333333333,0.286448242494897,2,0.75,0.42857142857142855,0.616,0.42293233082706766,125,2,0.56,0.23931623931623933,0.848,0.8342522157861679,0.8763820638820639,0.697168909364796,0.12629745587767036,125,0.704,0.4131455399061033,0.834,0.8225517486135518,0.8398702157707503,0.6542436450595364,0.662,0.3983152827918171,0.05805951213836669,0.12901281625777483,0.13354903867840767,0.09745050800008287,0.09669479950024816,0.0,0.07051282051282051,156,0.6315796220814291,0.17715990519442398,0.6810854180776493,-0.07674880155324935,0.3675016800384037,0.08085036960844882,1.3181767256736756,0.2372718106212616,1.1951526708602904,0.17927290062904355,0.9949779350280762,0.049748896751403815,0.9037243133813143,0.03614897253525257,4.014804476976395,0.4014804476976395,0.300004070274136,0.030000407027413602,0.33143321108482776,0.029828988997634497,0.02296006207233295,0.0011480031036166475,0.2774987315416336,0.013874936577081682,0.6623378601074219,0.026493514404296876,0.36906228301636873,0.8680181428432464,0.14944611281007528,0.21961617058822885,0.4334567770212889,1.0861192479530932,6.390580177307129,0.12477114796638489,0.04955527186393738,0.3491770327091217,0.2060951292514801,0.0627613216638565,0.07924681901931763,0.13832688331604004,0.14716456830501556,3.3879494667053223,-0.21201986074447632,1.2361724361395843,-0.1916569471359253,1.2112549212134731,-0.20442979037761688,1.2268253178796389,-0.20648588240146637,1.2293503786194504,-0.20644548535346985,1.2293007174962889,-0.20428261160850525,1.2266447685262802,-0.20827025175094604,1.2315459520292247,-0.20527653396129608,1.227864564271363,-0.20735883712768555,1.2304240143921763,False,False,False
mini,PASS,5000,500,outcome_mcc,all_gates_then_outcome_mcc,2,0.6128524933638501,/home/aiub/kiyas/webagent_comparison/outputs/model_comparison/internvl35_8b_gold_v2_8_dgx/seed_42/mini/checkpoints/Y_INTERNVL35_8B_GOLD_V2_8_DGX_MINI_INTERNVL35_8B_RECOVERY_V2_8/best_e2_outcome-mcc0.613.ckpt,0.6128524933638501,/home/aiub/kiyas/webagent_comparison/outputs/model_comparison/internvl35_8b_gold_v2_8_dgx/seed_42/mini/checkpoints/Y_INTERNVL35_8B_GOLD_V2_8_DGX_MINI_INTERNVL35_8B_RECOVERY_V2_8/best_e2_outcome-mcc0.613.ckpt,True,True,2,0.8211678832116789,0.8021768619598217,0.8107547418335089,0.6128524933638501,0.8509615384615384,0.14252811056520145,0.584,0.3686868686868687,0.712,0.5524409248220327,0.5546295655783067,0.5714651332970023,0.416,0.14689265536723164,0.368,0.2568657015990672,0.35441507809928857,0.274242235207121,0.198,0.05509181969949917,0.556,0.3409166772097944,0.42529849012775844,0.24941335552108462,0.75,0.21428571428571427,3,0.62,0.5942321163144317,0.6586666666666667,0.27482092671046987,2,0.75,0.42857142857142855,0.616,0.43128011732662896,125,3,0.56,0.23931623931623933,0.912,0.8982160041453846,0.914004914004914,0.8002284700140491,0.07697840067690315,125,0.704,0.4131455399061033,0.832,0.8181471795493513,0.8296716065714439,0.640650319617188,0.662,0.3983152827918171,0.09864829790592197,0.14298895347863436,0.11944358322024348,0.09372650944603195,0.1271859112380541,0.0,0.08333333333333333,156,0.6815978333277708,0.19202580641856065,0.6948643992620508,-0.9515880616366863,0.26348639783065303,0.05796700752274367,1.2132775316238402,0.21838995569229122,1.1077277273654937,0.16615915910482407,0.9526478828907013,0.04763239414453507,0.8242233252868056,0.032968933011472225,3.4779787913799285,0.34779787913799287,0.2704608892963617,0.02704608892963617,0.21117990640033968,0.01900619157603057,0.025312152572441845,0.0012656076286220923,0.26082922310903667,0.013041461155451834,0.5776956784725189,0.023107827138900756,0.29970788519382474,0.7954606968641281,0.13378147377222777,0.16592641205806286,0.3885179691769183,0.9543825050425006,3.7999091148376465,0.05554048344492912,0.06799744069576263,0.1911715865135193,0.2637151777744293,0.04773363843560219,0.09977014362812042,0.06656534969806671,0.20396487414836884,2.064314842224121,-0.293619841337204,1.3412739098378201,-0.27174925804138184,1.3122579219342707,-0.28422752022743225,1.3287352105014028,-0.28613001108169556,1.3312655232723722,-0.2867574095726013,1.3321010193197416,-0.2840195894241333,1.3284589542437997,-0.2904265224933624,1.3369976259895524,-0.28498172760009766,1.3297377303999105,-0.2886646091938019,1.3346440261191614,True,True,True
mini,PASS,5000,500,outcome_mcc,all_gates_then_outcome_mcc,2,0.6128524933638501,/home/aiub/kiyas/webagent_comparison/outputs/model_comparison/internvl35_8b_gold_v2_8_dgx/seed_42/mini/checkpoints/Y_INTERNVL35_8B_GOLD_V2_8_DGX_MINI_INTERNVL35_8B_RECOVERY_V2_8/best_e2_outcome-mcc0.613.ckpt,0.6128524933638501,/home/aiub/kiyas/webagent_comparison/outputs/model_comparison/internvl35_8b_gold_v2_8_dgx/seed_42/mini/checkpoints/Y_INTERNVL35_8B_GOLD_V2_8_DGX_MINI_INTERNVL35_8B_RECOVERY_V2_8/best_e2_outcome-mcc0.613.ckpt,True,True,3,0.8199643493761141,0.7949480061231368,0.8000856164383562,0.5933570932096031,0.8125,0.1667802789797913,0.584,0.3686868686868687,0.696,0.5283502337587157,0.531287219388369,0.5465273838838942,0.416,0.14689265536723164,0.366,0.2742168769406123,0.3758069415964153,0.2868918976430853,0.198,0.05509181969949917,0.528,0.33308496332235765,0.4213960511033682,0.24029616083393102,0.75,0.21428571428571427,4,0.598,0.5787064401322988,0.6546666666666667,0.2685876085797464,2,0.75,0.42857142857142855,0.632,0.4380748554103289,125,2,0.56,0.23931623931623933,0.92,0.9080882352941176,0.9275184275184275,0.8216481445266146,0.08041050519010792,125,0.704,0.4131455399061033,0.83,0.8186666666666667,0.8368490677344965,0.6474636917281736,0.662,0.3983152827918171,0.13984065139293675,0.15179775036126375,0.1106554442346096,0.09087774047507899,0.12812384035019458,0.0,0.09615384615384616,156,0.6642179250985359,0.20117035864540345,0.699150819525094,-1.5420365132689475,0.14993162736254745,0.03298495801976044,1.0966920986175537,0.19740457775115966,1.0495086209535598,0.15742629314303397,0.9066299739122391,0.045331498695611955,0.7447098626647145,0.02978839450658858,3.0611662766218184,0.30611662766218184,0.2325989063573914,0.02325989063573914,0.11414947985606268,0.010273453187045641,0.027682179206982255,0.001384108960349113,0.2524890831977129,0.012624454159885647,0.4219960572242737,0.016879842288970947,0.24127688531801106,0.7568616200685501,0.11765554813891649,0.12362133666749578,0.34105861023962497,0.8334740990103269,4.182965278625488,0.031027590855956078,0.1435796171426773,0.08489658683538437,0.03996410220861435,0.04152434691786766,0.15273404121398926,0.038260895758867264,0.14553582668304443,1.118790626525879,-0.32803115248680115,1.3882322185016591,-0.3092027008533478,1.362338489692088,-0.31810057163238525,1.374514491442567,-0.32044050097465515,1.3777345240876915,-0.3208796977996826,1.378339753614116,-0.3179318308830261,1.3742825744047538,-0.3259045481681824,1.3852831347490926,-0.3188150227069855,1.3754968656854116,-0.32329657673835754,1.381675062830718,False,False,False
mini,PASS,5000,500,outcome_mcc,all_gates_then_outcome_mcc,2,0.6128524933638501,/home/aiub/kiyas/webagent_comparison/outputs/model_comparison/internvl35_8b_gold_v2_8_dgx/seed_42/mini/checkpoints/Y_INTERNVL35_8B_GOLD_V2_8_DGX_MINI_INTERNVL35_8B_RECOVERY_V2_8/best_e2_outcome-mcc0.613.ckpt,0.6128524933638501,/home/aiub/kiyas/webagent_comparison/outputs/model_comparison/internvl35_8b_gold_v2_8_dgx/seed_42/mini/checkpoints/Y_INTERNVL35_8B_GOLD_V2_8_DGX_MINI_INTERNVL35_8B_RECOVERY_V2_8/best_e2_outcome-mcc0.613.ckpt,True,True,4,0.8192771084337349,0.7843402248612589,0.7849380927291887,0.5687395798359228,0.7548076923076923,0.17604470106817455,0.584,0.3686868686868687,0.694,0.5439912676930931,0.5480017574569108,0.5471962568194069,0.416,0.14689265536723164,0.372,0.27559254285272056,0.38221500721500723,0.2991288536768106,0.198,0.05509181969949917,0.544,0.3459703417150226,0.4430220673635308,0.26542239563456993,0.75,0.21428571428571427,4,0.61,0.5897828583930427,0.6653333333333333,0.2868158138542406,2,0.75,0.42857142857142855,0.656,0.49834515366430265,125,3,0.56,0.23931623931623933,0.912,0.8982160041453846,0.914004914004914,0.8002284700140491,0.0810160440048834,125,0.704,0.4131455399061033,0.832,0.8168050806057645,0.8253275889808541,0.6360851657458382,0.662,0.3983152827918171,0.16153233730792999,0.13891838685423136,0.1235723575949669,0.09005985008563865,0.1303149014598184,0.0,0.09615384615384616,156,0.6644646802111409,0.20295372215626947,0.6951009482335969,-1.7974077693462371,0.07126856419917603,0.015679084123818725,1.027210769033432,0.18489793842601776,1.0105470395326615,0.1515820559298992,0.8755537766456604,0.04377768883228302,0.6793098971957108,0.02717239588782843,2.746420228099823,0.27464202280998234,0.19993985861710972,0.019993985861710972,0.06808003803151659,0.006127203422836493,0.025469583316519856,0.0012734791658259928,0.24320508816242217,0.012160254408121109,0.33795336785316465,0.013518134714126587,0.20598272470589726,0.7003690387964249,0.10232987710237502,0.10365284763642121,0.31576852418780327,0.7508242435824506,1.28767728805542,0.006089102942496538,0.08011165261268616,0.01911153644323349,0.06411179900169373,0.004695983603596687,0.08483413606882095,0.007839356549084187,0.14154866337776184,0.200306236743927,-0.3336813449859619,1.3960981989951604,-0.31554287672042847,1.3710033947924873,-0.3236648440361023,1.3821839822759108,-0.326135516166687,1.3856031277747396,-0.3264935612678528,1.3860993250119933,-0.3235160708427429,1.3819783656465578,-0.33178991079330444,1.3934600668384547,-0.32437896728515625,1.3831713845136087,-0.32898059487342834,1.3895508909150691,False,False,False
