row_id,method,backend,weight_variant,output_mode,seed,phase,mcc,balanced_accuracy,macro_f1,accuracy,all_case_accuracy,valid_outputs,eligible_cases,failure_category_macro_f1,parse_error,abstention,infrastructure_error,interrupted,missing,model_calls_known,model_calls_unknown_records,latency_seconds_total,token_limit_hits
browser_use_base,browser_use,Qwen2.5-VL-7B-Instruct,base,generation,42,interaction_assessment,0.0,0.5,0.23684210526315788,0.3103448275862069,0.1125,87,240,0.11842105263157894,18,135,0,0,0,240,0,969.2034416010038,0
agent_s2_base,agent_s2,Qwen2.5-VL-7B-Instruct,base,generation,42,interaction_assessment,0.0,0.5,0.18269230769230768,0.2235294117647059,0.15833333333333333,170,240,0.09178743961352658,70,0,0,0,0,240,0,905.212476257997,0
webvoyager_base,webvoyager,Qwen2.5-VL-7B-Instruct,base,generation,42,interaction_assessment,,,,,0.0,0,240,,240,0,0,0,0,240,0,890.9317478780104,0
browser_use_trained,browser_use,Qwen2.5-VL-7B-Instruct,trained,generation,42,interaction_assessment,0.15109947130387485,0.5342465753424658,0.3141025641025641,0.3644859813084112,0.1625,107,240,0.1623134328358209,99,34,0,0,0,240,0,643.5442995430058,0
agent_s2_trained,agent_s2,Qwen2.5-VL-7B-Instruct,trained,generation,42,interaction_assessment,0.0,0.5,0.23809523809523808,0.3125,0.125,96,240,0.11904761904761904,142,2,0,0,0,240,0,569.9788304399972,0
webvoyager_trained,webvoyager,Qwen2.5-VL-7B-Instruct,trained,generation,42,interaction_assessment,-0.27567494942570275,0.44642857142857145,0.21929824561403508,0.2808988764044944,0.10416666666666667,89,240,0.10964912280701754,126,25,0,0,0,240,0,994.7885854820161,7
qwen25_heads,trained_heads,Qwen2.5-VL-7B-Instruct,trained,heads,42,interaction_assessment,0.6487491201346025,0.8472222222222223,0.8196457326892109,0.8541666666666666,0.8541666666666666,240,240,0.5564006490753124,0,0,0,0,0,240,0,282.4318369730081,0
