row_id,method,backend,weight_variant,output_mode,seed,interaction_mcc,interaction_balanced_accuracy,interaction_macro_f1,failure_category_macro_f1,interaction_all_case_accuracy,interaction_valid,interaction_eligible,recovery_mcc,recovery_macro_f1,recovery_all_case_accuracy,recovery_valid,recovery_eligible
browser_use_base,browser_use,Qwen2.5-VL-7B-Instruct,base,generation,42,0.0,0.5,0.23684210526315788,0.11842105263157894,0.1125,87,240,-0.12156613477096617,0.4,0.16666666666666666,30,120
agent_s2_base,agent_s2,Qwen2.5-VL-7B-Instruct,base,generation,42,0.0,0.5,0.18269230769230768,0.09178743961352658,0.15833333333333333,170,240,-0.10425720702853737,0.33088235294117646,0.375,91,120
webvoyager_base,webvoyager,Qwen2.5-VL-7B-Instruct,base,generation,42,,,,,0.0,0,240,,,0.0,0,120
browser_use_trained,browser_use,Qwen2.5-VL-7B-Instruct,trained,generation,42,0.15109947130387485,0.5342465753424658,0.3141025641025641,0.1623134328358209,0.1625,107,240,-0.06160411036336975,0.46153846153846156,0.25,35,120
agent_s2_trained,agent_s2,Qwen2.5-VL-7B-Instruct,trained,generation,42,0.0,0.5,0.23809523809523808,0.11904761904761904,0.125,96,240,-0.07559289460184544,0.4461538461538462,0.24166666666666667,36,120
webvoyager_trained,webvoyager,Qwen2.5-VL-7B-Instruct,trained,generation,42,-0.27567494942570275,0.44642857142857145,0.21929824561403508,0.10964912280701754,0.10416666666666667,89,240,0.0,0.4411764705882353,0.125,19,120
qwen25_heads,trained_heads,Qwen2.5-VL-7B-Instruct,trained,heads,42,0.6487491201346025,0.8472222222222223,0.8196457326892109,0.5564006490753124,0.8541666666666666,240,240,0.8408409924953906,0.9162946428571428,0.9166666666666666,120,120
